ZIP code,Adjusted gross income (AGI),year
11575,331149,2011
11576,1485769,2011
11577,871697,2011
11579,309096,2011
11580,1238026,2011
11581,808201,2011
11590,1431776,2011
11596,538168,2011
11598,922494,2011
11691,787092,2011
11692,279923,2011
11693,257586,2011
11694,667341,2011
11697,173868,2011
11701,723930,2011
11702,686250,2011
11703,530406,2011
11704,1135406,2011
11705,366648,2011
11706,1588438,2011
11709,321596,2011
11710,1515037,2011
11713,301833,2011
11714,828804,2011
11715,189847,2011
11716,366566,2011
11717,1009106,2011
11718,235693,2011
11719,137495,2011
11720,924347,2011
11721,441964,2011
11722,713673,2011
11724,444732,2011
11725,1326081,2011
11726,475489,2011
11727,831339,2011
11729,816163,2011
11730,591408,2011
11731,1232439,2011
11732,229063,2011
11733,2234899,2011
11735,1227877,2011
11738,502330,2011
11740,438889,2011
11741,974199,2011
11742,460002,2011
11743,3028778,2011
11746,2887549,2011
11747,1805080,2011
11749,97703,2011
11751,575249,2011
11752,308740,2011
11753,1164867,2011
11754,736020,2011
11755,469661,2011
11756,1420999,2011
11757,1333358,2011
11758,2384493,2011
11762,985982,2011
11763,814226,2011
11764,589974,2011
11765,230338,2011
11766,643346,2011
11767,590312,2011
11768,1363719,2011
11769,386025,2011
11771,1181208,2011
11772,1184078,2011
11776,732213,2011
11777,719790,2011
11778,396995,2011
11779,1184894,2011
11780,1570482,2011
11782,681161,2011
11783,896859,2011
11784,669515,2011
11786,283800,2011
11787,1841069,2011
11788,734165,2011
11789,234620,2011
11790,735241,2011
11791,2181539,2011
11792,358723,2011
11793,1398558,2011
11795,1079167,2011
11796,132081,2011
11797,946410,2011
11798,315527,2011
11801,1271570,2011
11803,1554744,2011
11804,273414,2011
11901,563171,2011
11933,230413,2011
11934,286930,2011
11935,180976,2011
11937,974992,2011
11939,45371,2011
11940,235905,2011
11941,102249,2011
11942,196472,2011
11944,134874,2011
11946,415063,2011
11948,49750,2011
11949,509147,2011
11950,338785,2011
11951,283489,2011
11952,221217,2011
11953,370566,2011
11954,167395,2011
11955,100248,2011
11957,55505,2011
11958,33819,2011
11961,368502,2011
11963,408009,2011
11967,640854,2011
11968,569785,2011
11971,246035,2011
11976,257924,2011
11977,130248,2011
11978,182464,2011
11980,143907,2011
12007,5344,2011
12008,15544,2011
12009,265668,2011
12010,568369,2011
12015,95575,2011
12017,12301,2011
12018,242174,2011
12019,568076,2011
12020,932347,2011
12022,18416,2011
12023,53244,2011
12025,134684,2011
12027,154828,2011
12028,28798,2011
12029,33400,2011
12031,3668,2011
12032,22673,2011
12033,253788,2011
12035,17055,2011
12036,4118,2011
12037,94299,2011
12041,14626,2011
12042,11868,2011
12043,150083,2011
12046,20390,2011
12047,470159,2011
12051,88689,2011
12052,39551,2011
12053,130661,2011
12054,781426,2011
12056,74684,2011
12057,33002,2011
12058,32362,2011
12059,48055,2011
12060,43358,2011
12061,340521,2011
12062,41688,2011
12063,21300,2011
12064,7111,2011
12065,1724014,2011
12066,52532,2011
12067,49858,2011
12068,60889,2011
12070,38620,2011
12071,5405,2011
12072,56395,2011
12074,86579,2011
12075,91424,2011
12076,25507,2011
12077,278046,2011
12078,395809,2011
12083,92985,2011
12084,182663,2011
12085,9721,2011
12086,49632,2011
12087,32639,2011
12090,120986,2011
12092,24879,2011
12093,30442,2011
12094,55821,2011
12095,240223,2011
12106,89021,2011
12108,11510,2011
12110,664031,2011
12116,34738,2011
12117,71972,2011
12118,409681,2011
12120,13709,2011
12121,57382,2011
12122,84099,2011
12123,144048,2011
12125,41088,2011
12130,25895,2011
12131,4310,2011
12134,80370,2011
12136,49216,2011
12137,48433,2011
12138,67527,2011
12139,6172,2011
12140,56981,2011
12143,120681,2011
12144,542772,2011
12147,18325,2011
12148,213700,2011
12149,40980,2011
12150,22266,2011
12151,24510,2011
12153,28515,2011
12154,80908,2011
12155,30181,2011
12156,25665,2011
12157,88327,2011
12158,192040,2011
12159,511427,2011
12160,20996,2011
12164,12605,2011
12165,24850,2011
12166,27412,2011
12167,49502,2011
12168,43521,2011
12169,6758,2011
12170,130624,2011
12173,40469,2011
12175,15401,2011
12176,5397,2011
12180,1055773,2011
12182,299238,2011
12183,55533,2011
12184,215542,2011
12185,53068,2011
12186,304364,2011
12187,17416,2011
12188,320414,2011
12189,400074,2011
12190,16375,2011
12192,35286,2011
12193,58636,2011
12194,4794,2011
12196,105458,2011
12197,40203,2011
12198,266308,2011
12202,115629,2011
12203,813209,2011
12204,256641,2011
